Name,External ID,Company,Email,Country,State,City,ZIP,Lead Created At
John Doe,1001,ABC Inc.,john.doe@abcinc.com,United States,California,Los Angeles,90001,1-5-22
Jane Smith,1002,XYZ Corp.,jane.smith@xyzcorp.com,United States,New York,New York City,10001,2-5-22
Alex Lee,1003,DEF Corp.,alex.lee@defcorp.com,Canada,Ontario,Toronto,M5J 2H7,3-5-22
Sara Garcia,1004,GHI Inc.,sara.garcia@ghiinc.com,Mexico,Nuevo Leon,Monterrey,64000,4-5-22
Tom Johnson,1005,JKL LLC,tom.johnson@jklllc.com,United States,Texas,Houston,77001,5-5-22
Lily Chen,1006,MNO Inc.,lily.chen@mnoinc.com,China,Beijing,Beijing,100000,6-5-22
Max Williams,1007,PQR Corp.,max.williams@pqrcorp.com,United States,Illinois,Chicago,60601,7-5-22
Anna Martinez,1008,STU LLC,anna.martinez@stullc.com,Mexico,Mexico City,Mexico City,1000,8-5-22
Kevin Lee,1009,VWX Corp.,kevin.lee@vwxcorp.com,United States,California,San Francisco,94101,9-5-22
Maria Rodriguez,1010,YZ Inc.,maria.rodriguez@yzinc.com,Spain,Madrid,Madrid,28001,10-5-22
